OBJECTID,TEA,SLN,SCHOOLNAME,LEVEL,ADDRESS,CITY,ZIP,PHONE,WEBSITE,POINT_X,POINT_Y,MasterID,Feeder,HIGH_SLN
157,137,137,Dorsey Elementary School,Elementary,133 N. St. Augustine,Dallas,75217,9727496300,http://www.dallasisd.org/dorsey,-96.65818555,32.71302397,'057905137,Spruce,17
158,156,156,Hawthorne Elementary School,Elementary,7800 Umphress Rd.,Dallas,75217,9727494700,http://www.dallasisd.org/hawthorne,-96.68880063,32.74212558,'057905156,Samuell,14
159,170,170,Lagow Elementary School,Elementary,637 Edgeworth Dr.,Dallas,75217,9727496600,http://www.dallasisd.org/lagow,-96.63672608,32.70243249,'057905170,Spruce,17
160,180,180,Macon Elementary School,Elementary,650 Holcomb Rd.,Dallas,75217,9727941500,http://www.dallasisd.org/macon,-96.6735568,32.72251852,'057905180,Spruce,17
161,237,237,Runyon Elementary School,Elementary,10750 Cradlerock Dr.,Dallas,75217,9727496100,http://www.dallasisd.org/runyon,-96.64104066,32.74042162,'057905237,Samuell,14
162,234,234,Gonzalez Personalized Learning Academy,Elementary,6610 Lake June Rd.,Dallas,75217,9725023300,http://www.dallasisd.org/gonzalez,-96.70777002,32.73397257,'057905234,Spruce,17
163,161,161,Ireland Elementary School,Elementary,1515 N. Jim Miller Rd.,Dallas,75217,9727494900,http://www.dallasisd.org/ireland,-96.70139866,32.73956568,'057905161,Samuell,14
164,207,207,San Jacinto Elementary School,Elementary,7900 Hume Dr.,Dallas,75227,9727494200,http://www.dallasisd.org/sanjacinto,-96.68595192,32.75697135,'057905207,Samuell,14
165,222,222,Urban Park Elementary School,Elementary,6901 Military Pkwy.,Dallas,75227,9727941100,http://www.dallasisd.org/urbanpark,-96.70165322,32.7739152,'057905222,Skyline,25
166,303,303,Richardson Elementary School,Elementary,7203 Bruton Rd.,Dallas,75217,9728928100,http://www.dallasisd.org/richardson,-96.6940325,32.75040884,'057905303,Samuell,14
167,119,119,Chapel Hill Elementary School,Elementary,12701 Templeton Trail,Dallas,75234,9727942400,http://www.dallasisd.org/chapelhill,-96.86579406,32.9180539,'057905119,White,21
168,279,279,Junkins Elementary School,Elementary,2808 Running Duke Dr.,Carrollton,75006,9725022400,http://www.dallasisd.org/junkins,-96.85631569,32.97378701,'057905279,White,21
169,304,304,Bush Elementary School,Elementary,3939 Spring Valley Rd.,Addison,75001,9729251700,http://www.dallasisd.org/georgehwbush,-96.84982527,32.94182652,'057905304,White,21
170,154,154,Smith Elementary School,Elementary,5229 Gus Thomasson Rd.,Mesquite,75150,9725024800,http://www.dallasisd.org/lgsmith,-96.65883478,32.83281267,'057905154,Adams,1
171,126,126,Central Elementary School,Elementary,902 Shady Lane,Seagoville,75159,9727496800,http://www.dallasisd.org/central,-96.53762355,32.65819978,'057905126,Seagoville,15
172,208,208,Seagoville Elementary School,Elementary,304 N. Kaufman St.,Seagoville,75159,9728927900,http://www.dallasisd.org/seagovillees,-96.54013768,32.64082544,'057905208,Seagoville,15
173,244,244,Seagoville North Elementary,Elementary,1906 Seagoville Rd.,Seagoville,75159,9728925300,http://www.dallasisd.org/seagovillenorth,-96.55654556,32.66375585,'057905244,Seagoville,15
174,173,173,Lanier Elementary School,Elementary,1400 Walmsley Ave.,Dallas,75208,9727944400,http://www.dallasisd.org/lanier,-96.84409245,32.76891302,'057905173,Pinkston,12
175,194,194,Polk Elementary School,Elementary,6911 Victoria Ave.,Dallas,75209,9727948900,http://www.dallasisd.org/polk,-96.83168387,32.84225703,'057905194,Jefferson,7
176,107,107,May Elementary School,Elementary,9818 Brockbank Dr.,Dallas,75220,9729253700,Http://www.dallasisd.org/joemay,-96.87501996,32.87169062,'057905107,Jefferson,7
177,13,13,Roosevelt High School,High,525 Bonnie View Rd.,Dallas,75203,9729256800,http://www.dallasisd.org/roosevelt,-96.79671581,32.7422883,'057905013,Roosevelt,13
178,16,16,South Oak Cliff High School,High,3601 S. Marsalis Ave.,Dallas,75216,2149327000,http://www.dallasisd.org/soc,-96.81624215,32.69955799,'057905016,SOC,16
179,7,7,Jefferson High School,High,4001 Walnut Hill Lane,Dallas,75229,9725027300,http://www.dallasisd.org/tjefferson,-96.84495028,32.88190618,'057905007,Jefferson,7
180,21,21,White High School,High,4505 Ridgeside Dr.,Dallas,75244,9725026200,http://www.dallasisd.org/wtwhite,-96.83167016,32.91685785,'057905021,White,21
181,28,28,Conrad High School,High,7502 Fair Oaks Ave.,Dallas,75231,9725022300,http://www.dallasisd.org/conrad,-96.75190459,32.8763826,'057905028,Conrad,28
182,14,14,Samuell High School,High,8928 Palisade Dr.,Dallas,75217,9728925100,http://www.dallasisd.org/samuell,-96.66766042,32.74531924,'057905014,Samuell,14
183,17,17,Spruce High School,High,9733 Old Seagoville Rd.,Dallas,75217,9728925500,http://www.dallasisd.org/spruce,-96.65385192,32.71050456,'057905017,Spruce,17
184,25,25,Skyline High School,High,7777 Forney Rd.,Dallas,75227,9725023400,http://www.dallasisd.org/skyline,-96.69054992,32.78050945,'057905025,Skyline,25
185,9,9,Lincoln High School,High,2826 Hatcher St.,Dallas,75215,9729257600,http://www.dallasisd.org/lincoln,-96.7496989,32.75480271,'057905009,Lincoln,9
186,206,206,Sanger Preparatory School,Elementary,8410 San Leandro Dr.,Dallas,75218,9727497600,http://www.dallasisd.org/sanger,-96.70943206,32.8134598,'057905206,Adams,1
187,263,263,Starks Elementary School,Elementary,3033 Tips Blvd.,Dallas,75216,9725028800,http://www.dallasisd.org/starks,-96.77409825,32.72176631,'057905263,Roosevelt,13
188,51,51,Holmes Middle School,Middle,2001 E. Kiest Blvd.,Dallas,75216,9729258500,http://www.dallasisd.org/owholmes,-96.79096836,32.71629627,'057905051,Roosevelt,13
189,273,273,Pleasant Grove Elementary School,Elementary,1614 N. St. Augustine Rd.,Dallas,75217,9728925000,http://www.dallasisd.org/pleasantgrove,-96.65566288,32.73846265,'057905273,Samuell,14
